id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-21I,Critical Listening(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(2b) 1 1 (1) FL-21I 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-315,Critical Listening(3a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(3a) 1 1 (1) FL-315 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-316,Critical Listening(3b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(3b) 1 1 (1) FL-316 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-21J,Communication Strategies(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Communication Strategies(1a) 1 1 (1) FL-21J 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-21K,Communication Strategies(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Communication Strategies(1b) 1 1 (1) FL-21K 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-21L,Communication Strategies(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Communication Strategies(2a) 1 1 (1) FL-21L 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-21M,Communication Strategies(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,基 Communication Strategies(2b) 1 1 (1) FL-21M 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-317,Communication Strategies(3a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Communication Strategies(3a) 1 1 (1) FL-317 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-318,Communication Strategies(3b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,目 Communication Strategies(3b) 1 1 (1) FL-318 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-21N,Academic English(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Academic English(1a) 1 1 (1) FL-21N 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-21O,Academic English(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Academic English(1b) 1 1 (1) FL-21O 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-21P,Academic English(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Academic English(2a) 1 1 (1) FL-21P 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-21Q,Academic English(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Academic English(2b) 1 1 (1) FL-21Q 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
