id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
RE-144,海外現地調査演習,3,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,海外現地調査演習                          3           4                          RE-144   5     15   20   20   40   （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-13B,公共経済学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,門       公共経済学                             2           2                          RE-13B   0     15   15   15   55,pdf_curriculum_table,,source_key=environment
RE-142,情報セキュリティ,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,基       情報セキュリティ                          2           2                          RE-142   10    40   10   20   20,pdf_curriculum_table,,source_key=environment
RE-12B,質的データ分析法,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,礎       質的データ分析法                          2           2                          RE-12B   20    20   20   15   25,pdf_curriculum_table,,source_key=environment
RE-122,画像処理技法,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,科       画像処理技法                            2           2                          RE-122   20    20   20   20   20,pdf_curriculum_table,,source_key=environment
RE-13D,環境教育,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境教育                              2           2                          RE-13D   0     15   15   15   55,pdf_curriculum_table,,source_key=environment
RE-13E,エネルギーと社会,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,エネルギーと社会                          2           2                          RE-13E   0     15   15   15   55,pdf_curriculum_table,,source_key=environment
RE-123,地理情報システム,2,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,地理情報システム                ○         2                2                     RE-123   20    20   20   15   25,pdf_curriculum_table,,source_key=environment
RE-13G,持続可能な食料システム,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,持続可能な食料システム                       2                2                     RE-13G   20    20   25   10   25,pdf_curriculum_table,,source_key=environment
RE-124,環境アセスメント概論,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境アセスメント概論                        2                2                     RE-124   30    10   30   10   20,pdf_curriculum_table,,source_key=environment
RE-143,キャリアデザイン,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,キャリアデザイン                          2                2                     RE-143   50    20   0    30   0,pdf_curriculum_table,,source_key=environment
RE-125,環境計量学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境計量学                             2                2                     RE-125   10    30   30   20   10,pdf_curriculum_table,,source_key=environment
RE-13H,ＮＰＯとソーシャルビジネス,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,ＮＰＯとソーシャルビジネス                     2                   2                  RE-13H   15    15   15   15   40,pdf_curriculum_table,,source_key=environment
RE-126,都市気候論,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,都市気候論                             2                   2                  RE-126   10    10   40   30   10,pdf_curriculum_table,,source_key=environment
RE-127,環境情報可視化技法,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境情報可視化技法                         2                   2                  RE-127   20    10   40   10   20,pdf_curriculum_table,,source_key=environment
RE-101,SD PBL(1),1,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,SD PBL(1)               ○         1    1                                 RE-101   20    30   30   10   10,pdf_curriculum_table,,source_key=environment
RE-201,SD PBL(2),2,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,SD PBL(2)               ○         2           2                          RE-201   20    20   20   20   20,pdf_curriculum_table,,source_key=environment
RE-301,SD PBL(3),1,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,SD PBL(3)               ○         1                        2             RE-301   9     24   24   24   19,pdf_curriculum_table,,source_key=environment
RE-252,都市環境学概論,2,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,都市環境学概論                 ○         2    2                                 RE-252   20    20   20   20   20,pdf_curriculum_table,,source_key=environment
RE-271,環境地理,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境地理                              2    2                                 RE-271   10    20   40   20   10,pdf_curriculum_table,,source_key=environment
RE-261,生物分類学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,生物分類学                             2    2                                 RE-261   70    0    0    0    30   （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-254,環境数理学入門,2,○ ※MS,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境数理学入門                 ○   ※MS   2         2                            RE-254   15    30   20   10   25,pdf_curriculum_table,,source_key=environment
RE-255,生態学概論,2,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,生態学概論                   ○         2         2                            RE-255   40    30   0    0    30,pdf_curriculum_table,,source_key=environment
RE-262,図化表現技法,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,図化表現技法                            2         2                            RE-262   10    30   30   20   10   （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-256,建築環境学,2,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,建築環境学                   ○         2   <2>     2                          RE-256   15    40   10   10   25   <TAP履修制限科目>†1,pdf_curriculum_table,,source_key=environment
RE-257,ランドスケープ論,2,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,学   ランドスケープ論                ○         2           2                          RE-257   20    10   40   10   20,pdf_curriculum_table,,source_key=environment
RE-263,環境化学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,科   環境化学                              2           2                          RE-263   15    15   15   15   40,pdf_curriculum_table,,source_key=environment
RE-264,測量学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,測量学                               2           2                          RE-264   15    15   15   15   40,pdf_curriculum_table,,source_key=environment
RE-272,環境法概論,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,科   環境法概論                             2           2                          RE-272   15    15   15   15   40,pdf_curriculum_table,,source_key=environment
RE-265,測量学実習,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,目   測量学実習                             2           2                          RE-265   15    15   15   15   40   （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-277,図面・模型作成演習,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,図面・模型作成演習                         2           2                          RE-277   20    20   20   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-273,環境都市計画学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境都市計画学                           2                2                     RE-273   10    30   30   20   10,pdf_curriculum_table,,source_key=environment
RE-266,生態環境実習,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,生態環境実習                            2                *2                    RE-266   30    30   30   10   0    集中講義（他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-267,CAD基礎演習,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,CAD基礎演習                           2                2                     RE-267   50    0    10   30   10   （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-274,都市環境データ分析演習,2,※MS,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,都市環境データ分析演習                 ※MS   2                2                     RE-274   20    20   20   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-275,環境都市関連法(1),2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,専           環境都市関連法(1)                        2                2                     RE-275   10    20   40   20   10,pdf_curriculum_table,,source_key=environment
RE-276,環境都市関連法(2),2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境都市関連法(2)                        2                   2                  RE-276   10    20   40   20   10,pdf_curriculum_table,,source_key=environment
RE-381,環境緑地学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,目           環境緑地学                             2           2                          RE-381   15    30   15   15   25,pdf_curriculum_table,,source_key=environment
RE-382,環境分析演習,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境分析演習                            2                2                     RE-382   30    15   15   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-383,態科自然環境調査演習,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,態科      自然環境調査演習                          2                2                     RE-383   50    20   30   0    0    （他学科履修不可）,pdf_curriculum_table,,source_key=environment
RE-384,境門自然復元論,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,境門      自然復元論                             2                2                     RE-384   10    30   30   20   10,pdf_curriculum_table,,source_key=environment
RE-385,分科保全生物学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,分科      保全生物学                             2                2                     RE-385   10    35   20   15   20,pdf_curriculum_table,,source_key=environment
RE-386,物質循環学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,）       物質循環学                             2                   2                  RE-386   30    15   15   20   20,pdf_curriculum_table,,source_key=environment
RE-387,エコロジカル・プランニング,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,エコロジカル・プランニング                     2                        2             RE-387   0     50   20   0    30,pdf_curriculum_table,,source_key=environment
RE-391,建築気候学,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,建築気候学                             2         2                            RE-391   15    15   30   15   25,pdf_curriculum_table,,source_key=environment
RE-392,都学都市・居住環境論,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,都学      都市・居住環境論                          2         2                            RE-392   10    30   20   20   20,pdf_curriculum_table,,source_key=environment
RE-393,市科都市インフラストラクチャー,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,市科      都市インフラストラクチャー                     2                2                     RE-393   10    10   40   30   10,pdf_curriculum_table,,source_key=environment
RE-394,境門適応的快適論,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,境門      適応的快適論                            2                2                     RE-394   15    15   30   15   25,pdf_curriculum_table,,source_key=environment
RE-395,分科環境モニタリング技術,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,分科      環境モニタリング技術                        2                   2                  RE-395   20    20   25   15   20,pdf_curriculum_table,,source_key=environment
RE-396,都市プランニング論,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,）       都市プランニング論                         2                   2                  RE-396   20    20   20   20   20,pdf_curriculum_table,,source_key=environment
RE-397,地域環境再生論,2,,専門分野,環境創生学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,地域環境再生論                           2                   2                  RE-397   10    20   30   30   10,pdf_curriculum_table,,source_key=environment
RE-311,事例研究(1),2,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,事例研究(1)                 ○         2                   3   (3)            RE-311   30    20   20   15   15,pdf_curriculum_table,,source_key=environment
RE-312,事例研究(2),2,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,事例研究(2)                 ○         2                        3  (3)        RE-312   25    20   25   15   15,pdf_curriculum_table,,source_key=environment
RE-411,卒業研究(1),3,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,卒業研究(1)                 ○         3                            6   (6)   RE-411   25    30   15   15   15,pdf_curriculum_table,,source_key=environment
RE-412,卒業研究(2),3,○,専門分野,環境創生学科科目,required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,卒業研究(2)                 ○         3                           (6)   6    RE-412   25    20   25   15   15,pdf_curriculum_table,,source_key=environment
EM-121,環境マネジメントシステム,2,,専門分野,環境経営システム学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境マネジメントシステム                     2    2                                EM-121   15    15   15   15    40,pdf_curriculum_table,,source_key=environment
EM-122,環境基礎,2,,専門分野,環境経営システム学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,環境基礎                             2    2                                EM-122   0     15   15   15    55,pdf_curriculum_table,,source_key=environment
EM-123,マクロ経済学,2,,専門分野,環境経営システム学科科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,マクロ経済学                           2    2                                EM-123   0     15   15   15    55,pdf_curriculum_table,,source_key=environment
