departmentId,sourceDepartment,campus,day,period,term,gradeYear,className,title,lectureCode,teacher,room,target,remarks,sourcePage,sourceFile,normalizedTitle
kikai,機械,世田谷,金,3,前期前,2,III-J,電気・計測回路,saa111310,冨士原 民雄,13C,対象[20-17],"対開講(月3,金3)",2,2026世田谷キャンパス前期.pdf,電気・計測回路
kikai,機械,世田谷,金,4,前期,3,III-J,応力解析学及びFEM演習,saz115307,岸本 喜直,12K,対象[24-21],"対開講(金3,金4)",2,2026世田谷キャンパス前期.pdf,応力解析学及びFEM演習
kikai,機械,世田谷,金,5,前期,3,III-J,応力解析学,saz115505,岸本 喜直,12K,対象[20-17],,2,2026世田谷キャンパス前期.pdf,応力解析学
kikai,機械,世田谷,金,5,前期前,2,III-J,材料工学,saa112505,藤間 卓也,12M,対象[20-17],"対開講(火5,金5)",2,2026世田谷キャンパス前期.pdf,材料工学
kikai,機械,世田谷,土,3,前期前,1,III-J,化学(1),saa116301,木屋 幸蔵,21C,対象[26-17],"対開講(土3,土4)",2,2026世田谷キャンパス前期.pdf,化学(1)
kikai,機械,世田谷,土,4,前期前,1,III-J,化学(1),saa116301,木屋 幸蔵,21C,対象[26-17],"対開講(土3,土4)",2,2026世田谷キャンパス前期.pdf,化学(1)
kikai,機械,世田谷,土,4,前集中,2,III-J,ことづくり(2),saz137613,鈴木 憲吏,-,対象[22-21],,2,2026世田谷キャンパス前期.pdf,ことづくり(2)
kikai,機械,世田谷,土,4,前集中,2,III-J,ひとづくり(2),saz137612,杉浦 正吾 加藤 雄一,-,対象[25-21],教養特別講義,2,2026世田谷キャンパス前期.pdf,ひとづくり(2)
kikai,機械,世田谷,土,4,前集中,2,III-J,ひらめきづくり(3),saz137615,杉浦 正吾 N・スランタ 加藤 雄一,-,対象[25-23],,2,2026世田谷キャンパス前期.pdf,ひらめきづくり(3)
kikai,機械,世田谷,土,4,前集中,2,III-J,ひらめきづくり(3),saz137616,杉浦 正吾 N・スランタ 加藤 雄一,-,対象[22-21],,2,2026世田谷キャンパス前期.pdf,ひらめきづくり(3)
kikai,機械,世田谷,土,4,前集中,2,III-J,電磁気学基礎,saa112209,須藤 誠一,-,対象[20-17],,2,2026世田谷キャンパス前期.pdf,電磁気学基礎
kikai,機械,世田谷,土,4,前集中,3,III-J,ことづくり(4),saz137621,瀬戸 久美子,-,対象[22-21],,2,2026世田谷キャンパス前期.pdf,ことづくり(4)
kikai,機械,世田谷,土,4,前集中,3,III-J,ことづくり(4),saz137622,瀬戸 久美子,-,対象[24-23],,2,2026世田谷キャンパス前期.pdf,ことづくり(4)
kikai,機械,世田谷,土,4,前集中,3,III-J,ひとづくり(3) 岸,saz137629,和幸,-,対象[24-21],教養特別講義,3,2026世田谷キャンパス前期.pdf,ひとづくり(3)岸
kikai,機械,世田谷,土,4,前集中,3,III-J,ひらめきづくり(5) 杉浦 大木,saz137624,正吾 浩士,-,対象[24-23],,3,2026世田谷キャンパス前期.pdf,ひらめきづくり(5)杉浦大木
kikai,機械,世田谷,土,4,前集中,3,III-J,ひらめきづくり(5) 杉浦 大木,saz137625,正吾 浩士,-,対象[22-21],,3,2026世田谷キャンパス前期.pdf,ひらめきづくり(5)杉浦大木
kikai,機械,世田谷,土,4,前集中,4,III-J,卒業研究(1) 三原 藤間 白木 伊東,saz117602,雄司 卓也 尚人 明美,-,対象[23-19],,3,2026世田谷キャンパス前期.pdf,卒業研究(1)三原藤間白木伊東
kikai,機械,世田谷,土,4,前集中,4,III-J,卒業研究(2) 三原 藤間 白木 伊東,saz117603,雄司 卓也 尚人 明美,-,対象[23-19],,3,2026世田谷キャンパス前期.pdf,卒業研究(2)三原藤間白木伊東
kikai,機械,世田谷,土,4,通年,4,III-J,卒業研究 三原 藤間 白木 伊東,szz117606,雄司 卓也 尚人 明美,-,対象[18-17],,3,2026世田谷キャンパス前期.pdf,卒業研究三原藤間白木伊東
kikai_system,機シ,世田谷,月,1,前期前,2,AB,材料力学(1)及び演習,saa121108,秋田 貢一,12P,対象[25-21],"対開講(月1,木1) ○",4,2026世田谷キャンパス前期.pdf,材料力学(1)及び演習
kikai_system,機シ,世田谷,月,1,前期前,2,CD,材料力学(1)及び演習,saa121109,宮坂 明宏,12H,対象[25-21],"対開講(月1,木1) ○",4,2026世田谷キャンパス前期.pdf,材料力学(1)及び演習
kikai_system,機シ,世田谷,月,1,前期前,2,CD,材料力学(1)及び演習,saa121109,宮坂 明宏,12H,対象[25-21],"対開講(月1,木1) ○",4,2026世田谷キャンパス前期.pdf,材料力学(1)及び演習
kikai_system,機シ,世田谷,月,1,前期前,2,CD,材料力学(1)及び演習,saa121108,秋田 貢一,12P,対象[25-21],"対開講(月1,木1) ○",4,2026世田谷キャンパス前期.pdf,材料力学(1)及び演習
kikai_system,機シ,世田谷,月,1,前期前,2,CD,線形代数学(2a),saa111109,曽布川 拓也,13M,対象[25-21],,4,2026世田谷キャンパス前期.pdf,線形代数学(2a)
kikai_system,機シ,世田谷,月,1,前期前,3,CD,技術者倫理,saa121104,田中 康寛 三宅 弘晃 白鳥 英 渡邉 力夫,31A,対象[24-17],"対開講(月1,木1)",4,2026世田谷キャンパス前期.pdf,技術者倫理
kikai_system,機シ,世田谷,月,1,前期前,4,CD,ロボット工学応用,saa121102,佐藤 大祐,73A,対象[23-17],"対開講(月1,木1)",4,2026世田谷キャンパス前期.pdf,ロボット工学応用
kikai_system,機シ,世田谷,月,1,前期後,1,AB,工業力学及び演習,sab121106,宮坂 明宏,1BN,対象[26-21],"対開講(月1,木1)",4,2026世田谷キャンパス前期.pdf,工業力学及び演習
kikai_system,機シ,世田谷,月,1,前期後,1,CD,工業力学及び演習,sab121107,柴田 拓馬,1BL,対象[26-21],"対開講(月1,木1)",4,2026世田谷キャンパス前期.pdf,工業力学及び演習
kikai_system,機シ,世田谷,月,1,前期後,1,CD,工業力学及び演習,sab121106,宮坂 明宏,1BN,対象[26-21],"対開講(月1,木1)",4,2026世田谷キャンパス前期.pdf,工業力学及び演習
kikai_system,機シ,世田谷,月,1,前期後,1,CD,工業力学及び演習,sab121107,柴田 拓馬,1BL,対象[26-21],"対開講(月1,木1)",4,2026世田谷キャンパス前期.pdf,工業力学及び演習
kikai_system,機シ,世田谷,月,1,前期後,2,CD,線形代数学(2b),sab111110,曽布川 拓也,13M,対象[25-21],,4,2026世田谷キャンパス前期.pdf,線形代数学(2b)
kikai_system,機シ,世田谷,月,1,前期後,3,CD,振動工学,sab121110,藪井 将太,12K,対象[24-17],"対開講(月1,木1)",4,2026世田谷キャンパス前期.pdf,振動工学
kikai_system,機シ,世田谷,月,2,前期前,1,SD,PBL(1),saa121201,土方 規実雄,PBL教室,対象[26-20],"対開講(月2,木2)",4,2026世田谷キャンパス前期.pdf,PBL(1)
kikai_system,機シ,世田谷,月,2,前期前,2,SD,ベクトル解析学,saa121202,渡邉 力夫,12P,対象[25-17],"対開講(月2,木2)",4,2026世田谷キャンパス前期.pdf,ベクトル解析学
kikai_system,機シ,世田谷,月,2,前期後,1,AB,電気物理及び演習(a),sab121208,田中 康寛,1BB,対象[26-21],"対開講(月2,木2)",4,2026世田谷キャンパス前期.pdf,電気物理及び演習(a)
kikai_system,機シ,世田谷,月,2,前期後,1,CD,電気物理及び演習(a),sab121209,三宅 弘晃,1BC,対象[26-21],"対開講(月2,木2)",4,2026世田谷キャンパス前期.pdf,電気物理及び演習(a)
kikai_system,機シ,世田谷,月,2,前期後,3,CD,伝熱工学,sab121206,永野 秀明,21B,対象[24-17],"対開講(月2,木2)",4,2026世田谷キャンパス前期.pdf,伝熱工学
kikai_system,機シ,世田谷,月,3,前期,2,CD,機械システム基礎実験,saz121301,"三宅 弘晃 渡邉 力夫 ,機械系実験 永野 秀明 室(10号館) 柴田 拓馬","12E,12F,12G",対象[25-17],"対開講(月3,月4)",4,2026世田谷キャンパス前期.pdf,機械システム基礎実験
kikai_system,機シ,世田谷,月,3,前期前,1,AB,微分積分学(1a),saa121309,笹尾 哲,13L,対象[26-21],,4,2026世田谷キャンパス前期.pdf,微分積分学(1a)
kikai_system,機シ,世田谷,月,3,前期前,1,CD,線形代数学(1a),saa121308,前田 多恵,13J,対象[26-21],,4,2026世田谷キャンパス前期.pdf,線形代数学(1a)
kikai_system,機シ,世田谷,月,3,前期後,1,AB,微分積分学(1b),sab121310,笹尾 哲,13L,対象[26-21],,4,2026世田谷キャンパス前期.pdf,微分積分学(1b)
kikai_system,機シ,世田谷,月,3,前期後,1,CD,線形代数学(1b),sab121311,前田 多恵,13J,対象[26-21],,4,2026世田谷キャンパス前期.pdf,線形代数学(1b)
kikai_system,機シ,世田谷,月,4,前期,2,CD,機械システム基礎実験,saz121301,"三宅 弘晃 渡邉 力夫 ,機械系実験 永野 秀明 室(10号館) 柴田 拓馬","12E,12F,12G",対象[25-17],"対開講(月3,月4)",4,2026世田谷キャンパス前期.pdf,機械システム基礎実験
kikai_system,機シ,世田谷,火,1,前期,1,CD,知的財産,saz112141,伊藤 剣太 (2Q),"71B(1Q),61C",対象[26-17],,4,2026世田谷キャンパス前期.pdf,知的財産
kikai_system,機シ,世田谷,火,1,前期前,1,CD,微分積分学(1a),saa122111,肥田野 久二男,1BM,対象[26-21],,4,2026世田谷キャンパス前期.pdf,微分積分学(1a)
kikai_system,機シ,世田谷,火,1,前期前,1,CD,微分積分学(1a)ﾘﾒﾃﾞｨｱﾙｸ ﾗｽ,saa122112,井上 浩一 大矢 浩徳,12M,対象[26-26],"対開講(火1,金1)",4,2026世田谷キャンパス前期.pdf,微分積分学(1a)リメディアルクラス
kikai_system,機シ,世田谷,火,1,前期前,2,AB,電気電子回路及び演習,saa122106,三宅 弘晃,1BB,対象[25-21],"対開講(火1,金1) ○",4,2026世田谷キャンパス前期.pdf,電気電子回路及び演習
kikai_system,機シ,世田谷,火,1,前期前,2,CD,電気電子回路及び演習,saa122107,土方 規実雄,1BC,対象[25-21],"対開講(火1,金1) ○",4,2026世田谷キャンパス前期.pdf,電気電子回路及び演習
kikai_system,機シ,世田谷,火,1,前期後,1,CD,微分積分学(1b),sab122114,肥田野 久二男,1BM,対象[26-21],,4,2026世田谷キャンパス前期.pdf,微分積分学(1b)
kikai_system,機シ,世田谷,火,1,前期後,1,CD,微分積分学(1b)ﾘﾒﾃﾞｨｱﾙｸ ﾗｽ,sab122113,井上 浩一 大矢 浩徳,12M,対象[26-26],"対開講(火1,金1)",4,2026世田谷キャンパス前期.pdf,微分積分学(1b)リメディアルクラス
kikai_system,機シ,世田谷,火,1,前期後,2,CD,流れ学(1)及び演習,sab122110,白鳥 英,1BN,対象[25-21],"対開講(火1,金1) ○",4,2026世田谷キャンパス前期.pdf,流れ学(1)及び演習
kikai_system,機シ,世田谷,火,1,前期後,3,CD,機械要素,sab122102,秋田 貢一,1BC,対象[24-17],"対開講(火1,金1)",4,2026世田谷キャンパス前期.pdf,機械要素
kikai_system,機シ,世田谷,火,2,前期,1,CD,知的財産,saz112205,伊藤 剣太 (2Q),"71B(1Q),61C",対象[26-17],,4,2026世田谷キャンパス前期.pdf,知的財産
kikai_system,機シ,世田谷,火,2,前期前,1,IV-A,Reading and,saa122201,日高 正司,12J,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期前,1,IV-B,Reading and Writing(1a),saa122202,ヴァーラ内田 エイ ドリアン ミッシェ,12G,対象[26-26],,4,2026世田谷キャンパス前期.pdf,ReadingandWriting(1a)
kikai_system,機シ,世田谷,火,2,前期前,1,IV-C,Reading and,saa122203,秋間 聖代,12C,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期前,1,IV-D,Reading and,saa122204,水戸 俊介,12D,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期前,1,IV-E,Reading and,saa122205,佐竹 幸信,12A,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期前,1,IV-F,Reading and,saa122206,古谷 裕美,12E,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期前,1,IV-G,Reading and,saa122207,松本 淳子,12F,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期前,1,IV-H,Reading and,saa122208,鷹取 勇希,13K,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
