id,title,credits,raw_required,category,group,courseType
LA-212,デザイン概論(2),2,G,共通分野,教養科目,elective
LA-213,日本文学,2,G,共通分野,教養科目,elective
LA-221,日本の政治(a),1,G,共通分野,教養科目,elective
LA-222,日本の政治(b),1,G,共通分野,教養科目,elective
LA-241,データサイエンスリテラシー(2),1,※DS,共通分野,教養科目,elective
LA-242,科学技術と社会,2,G,共通分野,教養科目,elective
LA-243,生活とメディア,2,,共通分野,教養科目,elective
LA-244,情報処理基礎,2,,共通分野,教養科目,elective
LA-321,日本経済論(a),1,G,共通分野,教養科目,elective
LA-322,日本経済論(b),1,G,共通分野,教養科目,elective
LA-331,国際化と異文化理解(a),1,G,共通分野,教養科目,elective
LA-332,国際化と異文化理解(b),1,G,共通分野,教養科目,elective
LA-341,情報処理応用,2,,共通分野,教養科目,elective
LA-351,Japan Studies,2,△,共通分野,教養科目,elective-required
LA-356,Intercultural Understanding(1),2,△,共通分野,教養科目,elective-required
LA-357,Intercultural Understanding(2),2,△,共通分野,教養科目,elective-required
LA-931,インターンシップ(1),1,,共通分野,教養科目,elective
LA-932,インターンシップ(2),1,,共通分野,教養科目,elective
LA-933,海外フィールド演習,2,G,共通分野,教養科目,elective
LA-936,特別講義(1),2,,共通分野,教養科目,elective
LA-937,特別講義(2),2,,共通分野,教養科目,elective
LA-951,ボランティア(1),1,,共通分野,教養科目,elective
LA-952,ボランティア(2),1,,共通分野,教養科目,elective
LA-953,教養ゼミナール(1),2,,共通分野,教養科目,elective
LA-954,教養ゼミナール(2),2,,共通分野,教養科目,elective
LA-955,教養特別講義,2,,共通分野,教養科目,elective
LA-956,教養特別講義(2),2,,共通分野,教養科目,elective
LA-957,教養特別講義(3),2,,共通分野,教養科目,elective
LA-958,未来を拓くイノベーション,2,,共通分野,教養科目,elective
PE-111,基礎体育(1a),0.5,△,共通分野,体育科目,elective-required
PE-112,基礎体育(1b),0.5,△,共通分野,体育科目,elective-required
PE-113,基礎体育(2a),0.5,△,共通分野,体育科目,elective-required
PE-114,基礎体育(2b),0.5,△,共通分野,体育科目,elective-required
PE-211,応用体育(1),1,,共通分野,体育科目,elective
PE-212,応用体育(2),1,,共通分野,体育科目,elective
UC-131,都市計画,2,△2,専門分野,専門科目,elective-required
UC-132,都市工学概論,1,○,専門分野,専門科目,required
UC-141,測量学,2,○,専門分野,専門科目,required
UC-151,水理学及び演習(1),3,○,専門分野,専門科目,required
UC-161,構造力学及び演習(1),3,○,専門分野,専門科目,required
UC-181,設計製図基礎,1,○,専門分野,専門科目,required
UC-211,都市工学実験演習(1),1,○,専門分野,専門科目,required
UC-212,都市工学実験演習(2),1,○,専門分野,専門科目,required
UC-221,キャリア開発,1,○,専門分野,専門科目,required
UC-222,特別講義(1),2,,専門分野,専門科目,elective
UC-223,特別講義(2),2,,専門分野,専門科目,elective
UC-224,特別講義(3),2,,専門分野,専門科目,elective
UC-232,建築と都市,2,,専門分野,専門科目,elective
UC-233,都市交通計画,2,△2,専門分野,専門科目,elective-required
UC-242,測量学実習,1,○,専門分野,専門科目,required
UC-251,水理学及び演習(2),3,△1,専門分野,専門科目,elective-required
UC-262,構造力学及び演習(2),3,△1,専門分野,専門科目,elective-required
UC-271,地盤工学及び演習(1),3,○,専門分野,専門科目,required
UC-293,上下水道工学,2,△3,専門分野,専門科目,elective-required
UC-294,水文河川工学,2,△3,専門分野,専門科目,elective-required
UC-295,海岸・港湾工学,2,△3,専門分野,専門科目,elective-required
UC-2A1,メインテナンス工学,2,△4,専門分野,専門科目,elective-required
UC-2A5,耐震工学,2,△4,専門分野,専門科目,elective-required
UC-2B1,マネジ建設施工マネジメント,2,△2,専門分野,専門科目,elective-required
UC-2B2,メントインフラマネジメント,2,△2,専門分野,専門科目,elective-required
UC-321,総合演習ゼミナール,1,○,専門分野,専門科目,required
UC-322,事例研究,2,○,専門分野,専門科目,required
UC-331,都市デザイン,2,,専門分野,専門科目,elective
UC-332,ランドスケープデザイン,1,,専門分野,専門科目,elective
UC-333,空間情報科学,2,△2,専門分野,専門科目,elective-required
UC-334,都市・地域分析,2,△2,専門分野,専門科目,elective-required
UC-365,鉄筋コンクリート構造,2,△1,専門分野,専門科目,elective-required
UC-366,コンクリートの性質,2,△1,専門分野,専門科目,elective-required
UC-367,鋼構造,2,△1,専門分野,専門科目,elective-required
UC-372,地盤工学及び演習(2),3,△1,専門分野,専門科目,elective-required
UC-382,都市工学設計,2,○,専門分野,専門科目,required
UC-391,水圏環境工学,2,△3,専門分野,専門科目,elective-required
UC-392,地圏環境工学,2,△3,専門分野,専門科目,elective-required
UC-3A2,交通施設工学,2,△4,専門分野,専門科目,elective-required
UC-3A3,エネルギー施設工学,2,△4,専門分野,専門科目,elective-required
UC-421,卒業研究(1),3,○,専門分野,専門科目,required
UC-422,卒業研究(2),3,○,専門分野,専門科目,required
