id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
SM-351,ＬＡＮ環境演習,2,△2,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,ＬＡＮ環境演習               △2         2                  2                  SM-351   10    10   20   20   40   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-253,データベース,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,データベース                        2               2                    SM-253,pdf_curriculum_table,,source_key=media_informatics
SM-353,ヒューマンコンピュータインタラクション,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,ヒューマンコンピュータインタラクション           2                       2            SM-353,pdf_curriculum_table,,source_key=media_informatics
SM-143,情報環境論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報環境論                            2         2                           SM-143   25    20   25   15   15,pdf_curriculum_table,,source_key=media_informatics
SM-243,メディア文化論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,目       ソ     メディア文化論                          2           2                         SM-243   10    20   0    10   60,pdf_curriculum_table,,source_key=media_informatics
SM-244,シ学メディアと表現,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,シ学    メディアと表現                          2           2                         SM-244   10    40   0    0    50,pdf_curriculum_table,,source_key=media_informatics
SM-245,社会情報デザイン,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,科   社会情報デザイン                         2                2                    SM-245   25    20   25   15   15,pdf_curriculum_table,,source_key=media_informatics
SM-248,参加型デザイン論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,デ     参加型デザイン論                         2                2                    SM-248   20    40   0    0    40,pdf_curriculum_table,,source_key=media_informatics
SM-247,イ科社会ネットワーク論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,イ科    社会ネットワーク論                        2                2                    SM-247   10    10   20   30   30,pdf_curriculum_table,,source_key=media_informatics
SM-341,メディア・プロデュース論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,分     メディア・プロデュース論                     2                  2                  SM-341   40    10   30   10   10,pdf_curriculum_table,,source_key=media_informatics
SM-342,ＮＰＯとソーシャルビジネス,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,ＮＰＯとソーシャルビジネス                    2                  2                  SM-342   15    15   15   15   40,pdf_curriculum_table,,source_key=media_informatics
SM-343,街づくり論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,街づくり論                            2                       2             SM-343   30    10   0    30   30,pdf_curriculum_table,,source_key=media_informatics
SM-133,情報と法,2,○,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報と法                    ○     2           2                        SM-133,pdf_curriculum_table,,source_key=media_informatics
SM-231,ジャーナリズム論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,ィ     ジャーナリズム論                         2           2                         SM-231   0     50   20   20   10,pdf_curriculum_table,,source_key=media_informatics
SM-232,学マスコミュニケーション論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,・学    マスコミュニケーション論                     2                2                    SM-232   20    20   10   10   40,pdf_curriculum_table,,source_key=media_informatics
SM-234,現代国際情勢,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,科   現代国際情勢                           2                2                    SM-234   0     40   0    30   30,pdf_curriculum_table,,source_key=media_informatics
SM-233,ニ門メディアと政治,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,ニ門    メディアと政治                          2                2                    SM-233   30    20   10   20   20,pdf_curriculum_table,,source_key=media_informatics
SM-236,ー科異文化間コミュニケーション,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,ー科    異文化間コミュニケーション                    2                2                    SM-236   10    30   10   20   30,pdf_curriculum_table,,source_key=media_informatics
SM-332,リスクコミュニケーション,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,ョ     リスクコミュニケーション                     2                  2                  SM-332   20    30   20   5    25,pdf_curriculum_table,,source_key=media_informatics
SM-331,情報の倫理,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報の倫理                         2                   2                SM-331,pdf_curriculum_table,,source_key=media_informatics
SM-334,情報政策論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報政策論                         2                       2            SM-334,pdf_curriculum_table,,source_key=media_informatics
SM-310,事例研究(1),2,○,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,事例研究(1)               ○          2                  3   (3)            SM-310   20    10   30   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-311,事例研究(2),2,○,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,事例研究(2)               ○          2                       3  (3)        SM-311   20    10   30   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-410,卒業研究(1),3,○,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,卒業研究(1)               ○          3                           6   (6)   SM-410   20    10   30   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-411,卒業研究(2),3,○,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,卒業研究(2)               ○          3                          (6)   6    SM-411   20    10   30   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-131,情報リテラシー演習,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報リテラシー演習                       2   2                                     IF-131   30    0    20    25   25    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-133,ＩＣＴアセスメント概論,2,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,ＩＣＴアセスメント概論           ○         2   2                                     IF-133   15    30   10    35   10,pdf_curriculum_table,,source_key=media_informatics
IF-135,情報と社会,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報と社会                           2   2                                     IF-135   20    40   0     20   20,pdf_curriculum_table,,source_key=media_informatics
IF-171,教養数学(a),1,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,教養数学(a)               ○         1   1                                     IF-171   25    25   25    0    25,pdf_curriculum_table,,source_key=media_informatics
IF-174,教養数学(b),1,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,教養数学(b)               ○         1   1                                     IF-174   25    25   25    0    25,pdf_curriculum_table,,source_key=media_informatics
IF-136,統計学基礎,2,※MS,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,統計学基礎                     ※MS   2   2                                     IF-136   30    30   10    0    30,pdf_curriculum_table,,source_key=media_informatics
IF-137,情報環境論,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報環境論                           2       2                                 IF-137   25    20   25    15   15,pdf_curriculum_table,,source_key=media_informatics
IF-172,線形代数学(1a),1,○ ※MS,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,線形代数学(1a)             ○   ※MS   1       1                                 IF-172   40    20   30    0    10,pdf_curriculum_table,,source_key=media_informatics
IF-175,線形代数学(1b),1,○ ※MS,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,線形代数学(1b)             ○   ※MS   1       1                                 IF-175   40    20   30    0    10,pdf_curriculum_table,,source_key=media_informatics
IF-173,微分積分学(1a),1,○ ※MS,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,微分積分学(1a)             ○   ※MS   1       1                                 IF-173   40    20   30    0    10,pdf_curriculum_table,,source_key=media_informatics
IF-176,微分積分学(1b),1,○ ※MS,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,微分積分学(1b)             ○   ※MS   1       1                                 IF-176   40    20   30    0    10,pdf_curriculum_table,,source_key=media_informatics
IF-231,情報と法,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報と法                            2           2                             IF-231   15    35   10    20   20,pdf_curriculum_table,,source_key=media_informatics
IF-232,情報と職業,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,専       情報と職業                           2           2                             IF-232   30    20   20    0    30,pdf_curriculum_table,,source_key=media_informatics
IF-233,メディアと表現,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,門       メディアと表現                         2           2                             IF-233   10    40   0     0    50,pdf_curriculum_table,,source_key=media_informatics
IF-271,線形代数学(2a),1,○ ※MS,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,線形代数学(2a)             ○   ※MS   1           1                             IF-271   40    20   30    0    10,pdf_curriculum_table,,source_key=media_informatics
IF-274,線形代数学(2b),1,○ ※MS,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,科       線形代数学(2b)             ○   ※MS   1           1                             IF-274   40    20   30    0    10,pdf_curriculum_table,,source_key=media_informatics
IF-272,微分積分学(2a),1,※MS,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,微分積分学(2a)                 ※MS   1           1                             IF-272   40    20   30    0    10,pdf_curriculum_table,,source_key=media_informatics
IF-275,微分積分学(2b),1,※MS,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,微分積分学(2b)                 ※MS   1           1                             IF-275   40    20   30    0    10,pdf_curriculum_table,,source_key=media_informatics
IF-273,確率統計(a),1,※MS,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,確率統計(a)                   ※MS   1           1                             IF-273   25    25   25    0    25,pdf_curriculum_table,,source_key=media_informatics
IF-276,確率統計(b),1,※MS,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,確率統計(b)                   ※MS   1           1                             IF-276   25    25   25    0    25,pdf_curriculum_table,,source_key=media_informatics
IF-236,情報セキュリティ,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報セキュリティ                        2           2                             IF-236   10    40   10    20   20,pdf_curriculum_table,,source_key=media_informatics
IF-234,データベース,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,データベース                          2               2                         IF-234   30    10   30    0    30,pdf_curriculum_table,,source_key=media_informatics
IF-235,サイエンス・スタディーズ,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,サイエンス・スタディーズ                    2               2                         IF-235   0     60   0     20   20,pdf_curriculum_table,,source_key=media_informatics
IF-134,キャリアデザイン,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,キャリアデザイン                        2               2                         IF-134   50    20   0     30    0,pdf_curriculum_table,,source_key=media_informatics
