id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-21Q,Academic English(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Academic English(2b) 1 1 (1) FL-21Q 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-319,Academic English(3a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Academic English(3a) 1 1 (1) FL-319 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-31A,Academic English(3b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Academic English(3b) 1 1 (1) FL-31A 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-221,Literature in English(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Literature in English(1a) 1 1 (1) FL-221 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-222,Literature in English(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Literature in English(1b) 1 1 (1) FL-222 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-223,Literature in English(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Literature in English(2a) 1 1 (1) FL-223 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-224,Literature in English(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Literature in English(2b) 1 1 (1) FL-224 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-225,Global Culture(1a),1,G,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Global Culture(1a) 1 1 (1) FL-225 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-226,英,1,G,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,英 Global Culture(1b) 1 1 (1) FL-226 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-227,Global Culture(2a),1,G,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Global Culture(2a) 1 1 (1) FL-227 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-228,Global Culture(2b),1,G,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,目 Global Culture(2b) 1 1 (1) FL-228 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-229,Language Sciences(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Language Sciences(1a) 1 1 (1) FL-229 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-22F,Language Sciences(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,養 Language Sciences(1b) 1 1 (1) FL-22F 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-22G,）,1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,） Language Sciences(2a) 1 1 (1) FL-22G 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-22H,Language Sciences(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Language Sciences(2b) 1 1 (1) FL-22H 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-22J,Global Society(1a),1,G,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Global Society(1a) 1 1 (1) FL-22J 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-22K,Global Society(1b),1,G,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Global Society(1b) 1 1 (1) FL-22K 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-22L,Global Society(2a),1,G,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Global Society(2a) 1 1 (1) FL-22L 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-22M,Global Society(2b),1,G,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,Global Society(2b) 1 1 (1) FL-22M 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-931,海外・特別選抜セミナー,2,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,海外・特別選抜セミナー 2 2 (2) FL-931 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-932,外国語特別講義(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,外国語特別講義(1a) 1 1 (1) FL-932 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-933,通,1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,通 外国語特別講義(1b) 1 1 (1) FL-933 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-934,外国語特別講義(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,外国語特別講義(2a) 1 1 (1) FL-934 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-935,外国語特別講義(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,外国語特別講義(2b) 1 1 (1) FL-935 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-241,英 ドイツ語(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,英 ドイツ語(1a) 1 1 (1) FL-241 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-243,外 ドイツ語(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,科 外 ドイツ語(2a) 1 1 (1) FL-243 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-244,の ドイツ語(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,目 の ドイツ語(2b) 1 1 (1) FL-244 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=80
FL-245,国 フランス語(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,国 フランス語(1a) 1 1 (1) FL-245 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-246,語 フランス語(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,語 フランス語(1b) 1 1 (1) FL-246 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=80
FL-247,フランス語(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,フランス語(2a) 1 1 (1) FL-247 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-248,フランス語(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,フランス語(2b) 1 1 (1) FL-248 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-249,スペイン語(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,スペイン語(1a) 1 1 (1) FL-249 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24A,スペイン語(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,スペイン語(1b) 1 1 (1) FL-24A 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24B,スペイン語(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,スペイン語(2a) 1 1 (1) FL-24B 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24C,スペイン語(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,スペイン語(2b) 1 1 (1) FL-24C 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24D,イタリア語(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,イタリア語(1a) 1 1 (1) FL-24D 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24E,イタリア語(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,イタリア語(1b) 1 1 (1) FL-24E 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24F,イタリア語(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,イタリア語(2a) 1 1 (1) FL-24F 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24G,イタリア語(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,語 イタリア語(2b) 1 1 (1) FL-24G 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24I,中国語(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,国 中国語(1b) 1 1 (1) FL-24I 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=81
