id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
LA-353,バ,2,△ G,基礎科目,教養科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,バ Global Studies(2) △ 2 (2) (2) 2 LA-353 20 30 20 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-354,Global Studies(3),2,△ G,基礎科目,教養科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Global Studies(3) △ 2 (2) (2) 2 LA-354 20 30 20 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-355,Global Studies(4),2,△ G,基礎科目,教養科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,養 Global Studies(4) △ 2 (2) (2) 2 LA-355 20 30 20 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-356,Intercultural Understanding(1),2,△,基礎科目,教養科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,系 Intercultural Understanding(1) △ 2 (2) (2) 2 LA-356 20 30 20 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-357,Intercultural Understanding(2),2,△,基礎科目,教養科目,elective-required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Intercultural Understanding(2) △ 2 (2) (2) 2 LA-357 20 30 20 20 10,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-955,そ,2,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,そ 教養特別講義 2 2 (2) LA-955 20 20 20 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-951,ボランティア(1),1,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ボランティア(1) 1 LA-951 20 20 20 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-952,ボランティア(2),1,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,ボランティア(2) 1 LA-952 20 20 20 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-931,インターンシップ(1),1,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,インターンシップ(1) 1 LA-931 20 20 20 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-932,インターンシップ(2),1,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,インターンシップ(2) 1 LA-932 20 20 20 20 20,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-111,英,1,○,基礎科目,外国語科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,外 英 English I-A ○ 1 2 FL-111 20 30 10 10 30,pdftotext_line,,department=デザイン・データ科学科; source_page=80
