id,title,credits,raw_required,category,group,courseType,source_key,source_file,source_line
LA-127,経済学(1a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,経済学(1a)                     1    1                                        LA-127   10     45   0    0    45
LA-128,経済学(1b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,経済学(1b)                     1    1                                        LA-128   10     45   0    0    45
LA-129,経済学(2a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,経済学(2a)                     1         1                                   LA-129   10     45   0    0    45
LA-12A,経済学(2b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,経済学(2b)                     1          1                                  LA-12A   10     45   0    0    45
LA-321,日本経済論(a),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,日本経済論(a)           Ｇ        1                         1                   LA-321   0      15   15   15   55
LA-322,日本経済論(b),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,日本経済論(b)           Ｇ        1                         1                   LA-322   0      15   15   15   55
LA-12B,政治学(1a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,政治学(1a)                     1   1                                         LA-12B   15     30   15   20   20
LA-12C,政治学(1b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,会   政治学(1b)                     1    1                                        LA-12C   15     30   15   20   20
LA-12D,政治学(2a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,科   政治学(2a)                     1         1                                   LA-12D   15     30   15   20   20
LA-12E,政治学(2b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,学   政治学(2b)                     1          1                                  LA-12E   15     30   15   20   20
LA-221,日本の政治(a),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,日本の政治(a)           Ｇ        1               1                             LA-221   10     35   10   10   35
LA-222,日本の政治(b),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,日本の政治(b)           Ｇ        1               1                             LA-222   10     35   10   10   35
LA-12F,国際関係論(1a),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,国際関係論(1a)          Ｇ        1   1                                         LA-12F   23     25   15   15   22
LA-12G,国際関係論(1b),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,国際関係論(1b)          Ｇ        1    1                                        LA-12G   23     25   15   15   22
LA-12H,国際関係論(2a),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,国際関係論(2a)          Ｇ        1         1                                   LA-12H   23     25   15   15   22
LA-12I,国際関係論(2b),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,国際関係論(2b)          Ｇ        1          1                                  LA-12I   23     25   15   15   22
LA-12J,日本国憲法,2,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,日本国憲法                       2   2     (2)                                 LA-12J   25     25   25   0    25
LA-12K,法学,2,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,法学                          2    2                                        LA-12K   25     25   25   0    25
LA-12L,民法,2,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,民法                          2         2                                   LA-12L   25     25   25   0    25
LA-12M,西洋経済史,2,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,西洋経済史              Ｇ        2   (2)    2                                  LA-12M   20     30   0    20   30
LA-12N,人文地理学(a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,人文地理学(a)                    1   1                                         LA-12N   30     10   20   10   30
LA-12O,人文地理学(b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,人文地理学(b)                    1    1                                        LA-12O   30     10   20   10   30
LA-12P,現代中国論,2,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,現代中国論              Ｇ        2         2                                   LA-12P   10     35   10   10   35
LA-131,教育学(1a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,教育学(1a)                                1     1                                          LA-131   20     30    0   30   20
LA-132,教育学(1b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,教育学(1b)                                1      1                                         LA-132   20     30    0   30   20
LA-133,教育学(2a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,教育学(2a)                                1           1                                    LA-133   20     30    0   30   20
LA-134,教育学(2b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,教育学(2b)                                1            1                                   LA-134   20     30    0   30   20   共通
LA-135,スポーツ・健康論,2,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,スポーツ・健康論                               2     2     (2)                                  LA-135   40     20   30   0    10
LA-136,心理学(1a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,心理学(1a)                                1     1                                          LA-136   10     50    0   20   20
LA-137,心理学(1b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,心理学(1b)                                1      1                                         LA-137   10     50    0   20   20
LA-138,心理学(2a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,間   心理学(2a)                                1           1                                    LA-138   10     50    0   20   20
LA-139,心理学(2b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,科   心理学(2b)                                1            1                                   LA-139   10     50    0   20   20
LA-13C,心理学入門,2,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,学   心理学入門                                  2     2                                          LA-13C   20     10   10   20   40
LA-13D,社会とジェンダー(a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,社会とジェンダー(a)                            1           1                                    LA-13D   20     20   20   20   20
LA-13E,社会とジェンダー(b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,社会とジェンダー(b)                            1            1                                   LA-13E   20     20   20   20   20
